Traffic_ID,Date,Time,Time_24Hr,Hour,Day_Of_Week,Is_Weekend,Is_Peak_Hour,Day_Part,Car_Count,Bike_Count,Bus_Count,Truck_Count,Total_Vehicles,PCU_Score,Congestion_Index,Heavy_Vehicle_Ratio,Bus_To_Car_Ratio,Traffic_Situation,Day_Type,Rush_Hour_Category,Commercial_Vehicle_Share,Car_Volume_Percentage
32,1,7:45:00 AM,07:45:00,7,Wednesday,0,1,Morning,108,30,46,5,189,276.0,1.64,0.2698,0.422,heavy,Weekday,Morning Rush (7-10 AM),0.2698,57.14
33,1,8:00:00 AM,08:00:00,8,Wednesday,0,1,Morning,128,15,43,5,191,279.5,1.66,0.2513,0.3333,heavy,Weekday,Morning Rush (7-10 AM),0.2513,67.02
34,1,8:15:00 AM,08:15:00,8,Wednesday,0,1,Morning,129,37,41,1,208,273.5,1.63,0.2019,0.3154,heavy,Weekday,Morning Rush (7-10 AM),0.2019,62.02
35,1,8:30:00 AM,08:30:00,8,Wednesday,0,1,Morning,127,18,28,3,176,229.0,1.36,0.1761,0.2188,heavy,Weekday,Morning Rush (7-10 AM),0.1761,72.16
36,1,8:45:00 AM,08:45:00,8,Wednesday,0,1,Morning,142,37,46,3,228,307.5,1.83,0.2149,0.3217,heavy,Weekday,Morning Rush (7-10 AM),0.2149,62.28
37,1,9:00:00 AM,09:00:00,9,Wednesday,0,0,Morning,149,26,46,1,222,303.0,1.8,0.2117,0.3067,heavy,Weekday,Morning Rush (7-10 AM),0.2117,67.12
38,1,9:15:00 AM,09:15:00,9,Wednesday,0,0,Morning,77,13,7,23,120,173.5,1.03,0.25,0.0897,high,Weekday,Morning Rush (7-10 AM),0.25,64.17
39,1,9:30:00 AM,09:30:00,9,Wednesday,0,0,Morning,37,16,13,29,95,171.0,1.02,0.4421,0.3421,normal,Weekday,Morning Rush (7-10 AM),0.4421,38.95
40,1,9:45:00 AM,09:45:00,9,Wednesday,0,0,Morning,79,8,16,12,115,167.0,0.99,0.2435,0.2,normal,Weekday,Morning Rush (7-10 AM),0.2435,68.7
41,1,10:00:00 AM,10:00:00,10,Wednesday,0,0,Morning,97,2,16,7,122,167.0,0.99,0.1885,0.1633,normal,Weekday,Morning Rush (7-10 AM),0.1885,79.51
42,1,10:15:00 AM,10:15:00,10,Wednesday,0,0,Morning,22,8,31,8,69,143.0,0.85,0.5652,1.3478,normal,Weekday,Morning Rush (7-10 AM),0.5652,31.88
43,1,10:30:00 AM,10:30:00,10,Wednesday,0,0,Morning,31,23,19,12,85,135.5,0.81,0.3647,0.5938,normal,Weekday,Morning Rush (7-10 AM),0.3647,36.47
44,1,10:45:00 AM,10:45:00,10,Wednesday,0,0,Morning,49,22,16,5,92,123.0,0.73,0.2283,0.32,normal,Weekday,Morning Rush (7-10 AM),0.2283,53.26
45,1,11:00:00 AM,11:00:00,11,Wednesday,0,0,Morning,32,5,3,21,61,106.5,0.63,0.3934,0.0909,normal,Weekday,Off-Peak Hours,0.3934,52.46
46,1,11:15:00 AM,11:15:00,11,Wednesday,0,0,Morning,40,6,11,28,85,160.0,0.95,0.4588,0.2683,normal,Weekday,Off-Peak Hours,0.4588,47.06
47,1,11:30:00 AM,11:30:00,11,Wednesday,0,0,Morning,42,6,10,21,79,138.0,0.82,0.3924,0.2326,normal,Weekday,Off-Peak Hours,0.3924,53.16
48,1,11:45:00 AM,11:45:00,11,Wednesday,0,0,Morning,37,9,7,25,78,137.5,0.82,0.4103,0.1842,normal,Weekday,Off-Peak Hours,0.4103,47.44
49,1,12:00:00 PM,12:00:00,12,Wednesday,0,0,Afternoon,45,5,5,24,79,134.5,0.8,0.3671,0.1087,normal,Weekday,Off-Peak Hours,0.3671,56.96
50,1,12:15:00 PM,12:15:00,12,Wednesday,0,0,Afternoon,64,10,4,28,106,165.0,0.98,0.3019,0.0615,normal,Weekday,Off-Peak Hours,0.3019,60.38
51,1,12:30:00 PM,12:30:00,12,Wednesday,0,0,Afternoon,33,8,6,23,70,124.0,0.74,0.4143,0.1765,normal,Weekday,Off-Peak Hours,0.4143,47.14
52,1,12:45:00 PM,12:45:00,12,Wednesday,0,0,Afternoon,34,6,12,27,79,154.0,0.92,0.4937,0.3429,normal,Weekday,Off-Peak Hours,0.4937,43.04
53,1,1:00:00 PM,13:00:00,13,Wednesday,0,0,Afternoon,40,9,5,20,74,119.5,0.71,0.3378,0.122,normal,Weekday,Off-Peak Hours,0.3378,54.05
54,1,1:15:00 PM,13:15:00,13,Wednesday,0,0,Afternoon,64,19,22,12,117,175.5,1.04,0.2906,0.3385,normal,Weekday,Off-Peak Hours,0.2906,54.7
55,1,1:30:00 PM,13:30:00,13,Wednesday,0,0,Afternoon,108,24,34,7,173,243.0,1.45,0.237,0.3119,heavy,Weekday,Off-Peak Hours,0.237,62.43
56,1,1:45:00 PM,13:45:00,13,Wednesday,0,0,Afternoon,108,17,33,7,165,236.5,1.41,0.2424,0.3028,high,Weekday,Off-Peak Hours,0.2424,65.45
57,1,2:00:00 PM,14:00:00,14,Wednesday,0,0,Afternoon,50,23,21,11,105,157.5,0.94,0.3048,0.4118,normal,Weekday,Off-Peak Hours,0.3048,47.62
58,1,2:15:00 PM,14:15:00,14,Wednesday,0,0,Afternoon,16,21,10,16,63,104.5,0.62,0.4127,0.5882,normal,Weekday,Off-Peak Hours,0.4127,25.4
59,1,2:30:00 PM,14:30:00,14,Wednesday,0,0,Afternoon,91,22,34,8,155,228.0,1.36,0.271,0.3696,high,Weekday,Off-Peak Hours,0.271,58.71
60,1,2:45:00 PM,14:45:00,14,Wednesday,0,0,Afternoon,89,19,37,18,163,263.5,1.57,0.3374,0.4111,high,Weekday,Off-Peak Hours,0.3374,54.6
61,1,3:00:00 PM,15:00:00,15,Wednesday,0,0,Afternoon,108,12,23,8,151,207.0,1.23,0.2053,0.211,normal,Weekday,Off-Peak Hours,0.2053,71.52
62,1,3:15:00 PM,15:15:00,15,Wednesday,0,0,Afternoon,73,29,23,7,132,177.5,1.06,0.2273,0.3108,normal,Weekday,Off-Peak Hours,0.2273,55.3
63,1,3:30:00 PM,15:30:00,15,Wednesday,0,0,Afternoon,76,28,39,14,157,249.0,1.48,0.3376,0.5065,high,Weekday,Off-Peak Hours,0.3376,48.41
64,1,3:45:00 PM,15:45:00,15,Wednesday,0,0,Afternoon,19,15,20,17,71,137.5,0.82,0.5211,1.0,normal,Weekday,Off-Peak Hours,0.5211,26.76
65,1,4:00:00 PM,16:00:00,16,Wednesday,0,1,Afternoon,102,37,48,9,196,291.5,1.74,0.2908,0.466,heavy,Weekday,Evening Rush (4-7 PM),0.2908,52.04
66,1,4:15:00 PM,16:15:00,16,Wednesday,0,1,Afternoon,115,36,41,8,200,280.0,1.67,0.245,0.3534,heavy,Weekday,Evening Rush (4-7 PM),0.245,57.5
67,1,4:30:00 PM,16:30:00,16,Wednesday,0,1,Afternoon,142,23,23,6,194,240.5,1.43,0.1495,0.1608,heavy,Weekday,Evening Rush (4-7 PM),0.1495,73.2
68,1,4:45:00 PM,16:45:00,16,Wednesday,0,1,Afternoon,134,15,29,8,186,252.5,1.5,0.1989,0.2148,heavy,Weekday,Evening Rush (4-7 PM),0.1989,72.04
69,1,5:00:00 PM,17:00:00,17,Wednesday,0,1,Evening,146,18,49,9,222,329.0,1.96,0.2613,0.3333,heavy,Weekday,Evening Rush (4-7 PM),0.2613,65.77
70,1,5:15:00 PM,17:15:00,17,Wednesday,0,1,Evening,126,24,48,9,207,309.0,1.84,0.2754,0.378,heavy,Weekday,Evening Rush (4-7 PM),0.2754,60.87
71,1,5:30:00 PM,17:30:00,17,Wednesday,0,1,Evening,138,18,27,6,189,246.0,1.46,0.1746,0.1942,heavy,Weekday,Evening Rush (4-7 PM),0.1746,73.02
72,1,5:45:00 PM,17:45:00,17,Wednesday,0,1,Evening,129,13,43,6,191,282.5,1.68,0.2565,0.3308,heavy,Weekday,Evening Rush (4-7 PM),0.2565,67.54
73,1,6:00:00 PM,18:00:00,18,Wednesday,0,1,Evening,127,35,23,10,195,243.5,1.45,0.1692,0.1797,heavy,Weekday,Evening Rush (4-7 PM),0.1692,65.13
74,1,6:15:00 PM,18:15:00,18,Wednesday,0,1,Evening,144,20,22,7,193,241.0,1.43,0.1503,0.1517,heavy,Weekday,Evening Rush (4-7 PM),0.1503,74.61
75,1,6:30:00 PM,18:30:00,18,Wednesday,0,1,Evening,117,19,31,7,174,240.5,1.43,0.2184,0.2627,heavy,Weekday,Evening Rush (4-7 PM),0.2184,67.24
76,1,6:45:00 PM,18:45:00,18,Wednesday,0,1,Evening,87,10,13,16,126,179.0,1.07,0.2302,0.1477,normal,Weekday,Evening Rush (4-7 PM),0.2302,69.05
77,1,7:00:00 PM,19:00:00,19,Wednesday,0,0,Evening,87,6,18,30,141,234.0,1.39,0.3404,0.2045,high,Weekday,Evening Rush (4-7 PM),0.3404,61.7
78,1,7:15:00 PM,19:15:00,19,Wednesday,0,0,Evening,97,18,10,24,149,208.0,1.24,0.2282,0.102,high,Weekday,Evening Rush (4-7 PM),0.2282,65.1
79,1,7:30:00 PM,19:30:00,19,Wednesday,0,0,Evening,71,21,14,12,118,159.5,0.95,0.2203,0.1944,normal,Weekday,Evening Rush (4-7 PM),0.2203,60.17
80,1,7:45:00 PM,19:45:00,19,Wednesday,0,0,Evening,96,24,18,10,148,192.0,1.14,0.1892,0.1856,normal,Weekday,Evening Rush (4-7 PM),0.1892,64.86
81,1,8:00:00 PM,20:00:00,20,Wednesday,0,0,Evening,90,7,17,31,145,237.5,1.41,0.331,0.1868,high,Weekday,Night Freight (8-11 PM),0.331,62.07
82,1,8:15:00 PM,20:15:00,20,Wednesday,0,0,Evening,74,6,12,34,126,215.0,1.28,0.3651,0.16,high,Weekday,Night Freight (8-11 PM),0.3651,58.73
83,1,8:30:00 PM,20:30:00,20,Wednesday,0,0,Evening,59,7,15,20,101,167.5,1.0,0.3465,0.25,normal,Weekday,Night Freight (8-11 PM),0.3465,58.42
84,1,8:45:00 PM,20:45:00,20,Wednesday,0,0,Evening,87,11,16,28,142,224.5,1.34,0.3099,0.1818,high,Weekday,Night Freight (8-11 PM),0.3099,61.27
85,1,9:00:00 PM,21:00:00,21,Wednesday,0,0,Evening,62,22,20,20,124,193.0,1.15,0.3226,0.3175,normal,Weekday,Night Freight (8-11 PM),0.3226,50.0
86,1,9:15:00 PM,21:15:00,21,Wednesday,0,0,Evening,71,16,14,9,110,148.0,0.88,0.2091,0.1944,low,Weekday,Night Freight (8-11 PM),0.2091,64.55
87,1,9:30:00 PM,21:30:00,21,Wednesday,0,0,Evening,98,9,15,18,140,201.5,1.2,0.2357,0.1515,normal,Weekday,Night Freight (8-11 PM),0.2357,70.0
88,1,9:45:00 PM,21:45:00,21,Wednesday,0,0,Evening,93,8,10,16,127,175.0,1.04,0.2047,0.1064,normal,Weekday,Night Freight (8-11 PM),0.2047,73.23
89,1,10:00:00 PM,22:00:00,22,Wednesday,0,0,Night,17,4,0,36,57,127.0,0.76,0.6316,0.0,normal,Weekday,Night Freight (8-11 PM),0.6316,29.82
90,1,10:15:00 PM,22:15:00,22,Wednesday,0,0,Night,16,1,1,29,47,106.5,0.63,0.6383,0.0588,normal,Weekday,Night Freight (8-11 PM),0.6383,34.04
91,1,10:30:00 PM,22:30:00,22,Wednesday,0,0,Night,15,2,0,10,27,46.0,0.27,0.3704,0.0,low,Weekday,Night Freight (8-11 PM),0.3704,55.56
92,1,10:45:00 PM,22:45:00,22,Wednesday,0,0,Night,10,3,1,23,37,83.5,0.5,0.6486,0.0909,normal,Weekday,Night Freight (8-11 PM),0.6486,27.03
93,1,11:00:00 PM,23:00:00,23,Wednesday,0,0,Night,12,4,0,31,47,107.0,0.64,0.6596,0.0,normal,Weekday,Night Freight (8-11 PM),0.6596,25.53
94,1,11:15:00 PM,23:15:00,23,Wednesday,0,0,Night,20,1,1,24,46,95.5,0.57,0.5435,0.0476,normal,Weekday,Night Freight (8-11 PM),0.5435,43.48
95,1,11:30:00 PM,23:30:00,23,Wednesday,0,0,Night,11,0,1,23,35,83.0,0.49,0.6857,0.0833,normal,Weekday,Night Freight (8-11 PM),0.6857,31.43
96,1,11:45:00 PM,23:45:00,23,Wednesday,0,0,Night,14,1,1,17,33,68.5,0.41,0.5455,0.0667,normal,Weekday,Night Freight (8-11 PM),0.5455,42.42
97,2,12:00:00 AM,00:00:00,0,Thursday,0,0,Night,12,5,1,38,56,131.5,0.78,0.6964,0.0769,normal,Weekday,Off-Peak Hours,0.6964,21.43
98,2,12:15:00 AM,00:15:00,0,Thursday,0,0,Night,15,4,1,29,49,107.0,0.64,0.6122,0.0625,normal,Weekday,Off-Peak Hours,0.6122,30.61
99,2,12:30:00 AM,00:30:00,0,Thursday,0,0,Night,12,4,0,40,56,134.0,0.8,0.7143,0.0,normal,Weekday,Off-Peak Hours,0.7143,21.43
100,2,12:45:00 AM,00:45:00,0,Thursday,0,0,Night,11,5,0,22,38,79.5,0.47,0.5789,0.0,normal,Weekday,Off-Peak Hours,0.5789,28.95
101,2,1:00:00 AM,01:00:00,1,Thursday,0,0,Night,14,5,1,21,41,82.5,0.49,0.5366,0.0667,normal,Weekday,Off-Peak Hours,0.5366,34.15
102,2,1:15:00 AM,01:15:00,1,Thursday,0,0,Night,14,3,0,39,56,132.5,0.79,0.6964,0.0,normal,Weekday,Off-Peak Hours,0.6964,25.0
103,2,1:30:00 AM,01:30:00,1,Thursday,0,0,Night,10,4,1,11,26,48.0,0.29,0.4615,0.0909,low,Weekday,Off-Peak Hours,0.4615,38.46
104,2,1:45:00 AM,01:45:00,1,Thursday,0,0,Night,11,0,0,16,27,59.0,0.35,0.5926,0.0,normal,Weekday,Off-Peak Hours,0.5926,40.74
105,2,2:00:00 AM,02:00:00,2,Thursday,0,0,Night,12,3,0,39,54,130.5,0.78,0.7222,0.0,normal,Weekday,Off-Peak Hours,0.7222,22.22
106,2,2:15:00 AM,02:15:00,2,Thursday,0,0,Night,11,0,1,36,48,122.0,0.73,0.7708,0.0833,normal,Weekday,Off-Peak Hours,0.7708,22.92
107,2,2:30:00 AM,02:30:00,2,Thursday,0,0,Night,16,2,0,35,53,122.0,0.73,0.6604,0.0,normal,Weekday,Off-Peak Hours,0.6604,30.19
108,2,2:45:00 AM,02:45:00,2,Thursday,0,0,Night,17,3,1,36,57,129.5,0.77,0.6491,0.0556,normal,Weekday,Off-Peak Hours,0.6491,29.82
109,2,3:00:00 AM,03:00:00,3,Thursday,0,0,Night,13,1,1,13,28,55.5,0.33,0.5,0.0714,normal,Weekday,Off-Peak Hours,0.5,46.43
110,2,3:15:00 AM,03:15:00,3,Thursday,0,0,Night,14,5,0,19,38,73.5,0.44,0.5,0.0,normal,Weekday,Off-Peak Hours,0.5,36.84
111,2,3:30:00 AM,03:30:00,3,Thursday,0,0,Night,17,5,1,15,38,67.5,0.4,0.4211,0.0556,normal,Weekday,Off-Peak Hours,0.4211,44.74
112,2,3:45:00 AM,03:45:00,3,Thursday,0,0,Night,19,3,0,13,35,59.5,0.35,0.3714,0.0,normal,Weekday,Off-Peak Hours,0.3714,54.29
113,2,4:00:00 AM,04:00:00,4,Thursday,0,0,Night,19,3,1,12,35,59.5,0.35,0.3714,0.05,low,Weekday,Off-Peak Hours,0.3714,54.29
114,2,4:15:00 AM,04:15:00,4,Thursday,0,0,Night,54,15,10,8,87,115.5,0.69,0.2069,0.1818,low,Weekday,Off-Peak Hours,0.2069,62.07
115,2,4:30:00 AM,04:30:00,4,Thursday,0,0,Night,107,0,1,2,110,116.0,0.69,0.0273,0.0093,low,Weekday,Off-Peak Hours,0.0273,97.27
116,2,4:45:00 AM,04:45:00,4,Thursday,0,0,Night,116,20,5,14,155,183.0,1.09,0.1226,0.0427,normal,Weekday,Off-Peak Hours,0.1226,74.84
117,2,5:00:00 AM,05:00:00,5,Thursday,0,0,Morning,78,2,4,9,93,118.0,0.7,0.1398,0.0506,low,Weekday,Off-Peak Hours,0.1398,83.87
118,2,5:15:00 AM,05:15:00,5,Thursday,0,0,Morning,111,22,0,12,145,158.0,0.94,0.0828,0.0,normal,Weekday,Off-Peak Hours,0.0828,76.55
119,2,5:30:00 AM,05:30:00,5,Thursday,0,0,Morning,85,27,7,17,136,170.5,1.02,0.1765,0.0814,normal,Weekday,Off-Peak Hours,0.1765,62.5
120,2,5:45:00 AM,05:45:00,5,Thursday,0,0,Morning,95,5,9,20,129,184.5,1.1,0.2248,0.0938,normal,Weekday,Off-Peak Hours,0.2248,73.64
121,2,6:00:00 AM,06:00:00,6,Thursday,0,1,Morning,143,33,27,1,204,243.5,1.45,0.1373,0.1875,heavy,Weekday,Off-Peak Hours,0.1373,70.1
122,2,6:15:00 AM,06:15:00,6,Thursday,0,1,Morning,133,40,37,0,210,264.0,1.57,0.1762,0.2761,heavy,Weekday,Off-Peak Hours,0.1762,63.33
123,2,6:30:00 AM,06:30:00,6,Thursday,0,1,Morning,123,37,34,4,198,255.5,1.52,0.1919,0.2742,heavy,Weekday,Off-Peak Hours,0.1919,62.12
124,2,6:45:00 AM,06:45:00,6,Thursday,0,1,Morning,133,34,36,1,204,261.0,1.55,0.1814,0.2687,heavy,Weekday,Off-Peak Hours,0.1814,65.2
125,2,7:00:00 AM,07:00:00,7,Thursday,0,1,Morning,101,20,42,4,167,249.0,1.48,0.2754,0.4118,normal,Weekday,Morning Rush (7-10 AM),0.2754,60.48
126,2,7:15:00 AM,07:15:00,7,Thursday,0,1,Morning,145,10,37,0,192,261.0,1.55,0.1927,0.2534,heavy,Weekday,Morning Rush (7-10 AM),0.1927,75.52
127,2,7:30:00 AM,07:30:00,7,Thursday,0,1,Morning,141,39,40,5,225,295.5,1.76,0.2,0.2817,heavy,Weekday,Morning Rush (7-10 AM),0.2,62.67
128,2,7:45:00 AM,07:45:00,7,Thursday,0,1,Morning,134,12,22,2,170,212.0,1.26,0.1412,0.163,heavy,Weekday,Morning Rush (7-10 AM),0.1412,78.82
129,2,8:00:00 AM,08:00:00,8,Thursday,0,1,Morning,126,10,26,4,166,221.0,1.32,0.1807,0.2047,high,Weekday,Morning Rush (7-10 AM),0.1807,75.9
130,2,8:15:00 AM,08:15:00,8,Thursday,0,1,Morning,136,22,31,0,189,240.0,1.43,0.164,0.2263,heavy,Weekday,Morning Rush (7-10 AM),0.164,71.96
131,2,8:30:00 AM,08:30:00,8,Thursday,0,1,Morning,128,26,42,4,200,279.0,1.66,0.23,0.3256,heavy,Weekday,Morning Rush (7-10 AM),0.23,64.0
132,2,8:45:00 AM,08:45:00,8,Thursday,0,1,Morning,106,12,28,4,150,208.0,1.24,0.2133,0.2617,high,Weekday,Morning Rush (7-10 AM),0.2133,70.67
133,2,9:00:00 AM,09:00:00,9,Thursday,0,0,Morning,140,27,36,2,205,267.5,1.59,0.1854,0.2553,heavy,Weekday,Morning Rush (7-10 AM),0.1854,68.29
134,2,9:15:00 AM,09:15:00,9,Thursday,0,0,Morning,40,20,37,28,125,245.0,1.46,0.52,0.9024,high,Weekday,Morning Rush (7-10 AM),0.52,32.0
135,2,9:30:00 AM,09:30:00,9,Thursday,0,0,Morning,13,25,33,12,83,160.5,0.96,0.5422,2.3571,normal,Weekday,Morning Rush (7-10 AM),0.5422,15.66
136,2,9:45:00 AM,09:45:00,9,Thursday,0,0,Morning,18,22,26,10,76,137.0,0.82,0.4737,1.3684,normal,Weekday,Morning Rush (7-10 AM),0.4737,23.68
137,2,10:00:00 AM,10:00:00,10,Thursday,0,0,Morning,59,5,36,12,112,205.5,1.22,0.4286,0.6,high,Weekday,Morning Rush (7-10 AM),0.4286,52.68
138,2,10:15:00 AM,10:15:00,10,Thursday,0,0,Morning,48,9,30,14,101,184.5,1.1,0.4356,0.6122,normal,Weekday,Morning Rush (7-10 AM),0.4356,47.52
139,2,10:30:00 AM,10:30:00,10,Thursday,0,0,Morning,77,23,14,20,134,190.5,1.13,0.2537,0.1795,normal,Weekday,Morning Rush (7-10 AM),0.2537,57.46
140,2,10:45:00 AM,10:45:00,10,Thursday,0,0,Morning,17,13,13,27,70,143.5,0.85,0.5714,0.7222,normal,Weekday,Morning Rush (7-10 AM),0.5714,24.29
141,2,11:00:00 AM,11:00:00,11,Thursday,0,0,Morning,36,5,14,25,80,155.5,0.93,0.4875,0.3784,normal,Weekday,Off-Peak Hours,0.4875,45.0
142,2,11:15:00 AM,11:15:00,11,Thursday,0,0,Morning,60,10,3,28,101,158.0,0.94,0.3069,0.0492,normal,Weekday,Off-Peak Hours,0.3069,59.41
143,2,11:30:00 AM,11:30:00,11,Thursday,0,0,Morning,34,5,4,29,72,135.5,0.81,0.4583,0.1143,normal,Weekday,Off-Peak Hours,0.4583,47.22
144,2,11:45:00 AM,11:45:00,11,Thursday,0,0,Morning,63,5,6,20,94,143.5,0.85,0.2766,0.0938,normal,Weekday,Off-Peak Hours,0.2766,67.02
145,2,12:00:00 PM,12:00:00,12,Thursday,0,0,Afternoon,48,10,13,23,94,161.0,0.96,0.383,0.2653,normal,Weekday,Off-Peak Hours,0.383,51.06
146,2,12:15:00 PM,12:15:00,12,Thursday,0,0,Afternoon,44,5,5,21,75,124.5,0.74,0.3467,0.1111,normal,Weekday,Off-Peak Hours,0.3467,58.67
147,2,12:30:00 PM,12:30:00,12,Thursday,0,0,Afternoon,62,5,14,23,104,175.5,1.04,0.3558,0.2222,normal,Weekday,Off-Peak Hours,0.3558,59.62
148,2,12:45:00 PM,12:45:00,12,Thursday,0,0,Afternoon,38,8,15,27,88,168.0,1.0,0.4773,0.3846,normal,Weekday,Off-Peak Hours,0.4773,43.18
149,2,1:00:00 PM,13:00:00,13,Thursday,0,0,Afternoon,26,6,9,29,70,143.0,0.85,0.5429,0.3333,normal,Weekday,Off-Peak Hours,0.5429,37.14
