Time,Date,Car_Count,Bike_Count,Bus_Count,Truck_Count,Total_Vehicles,Day_Of_Week,Traffic_Situation,Time_24Hr,Hour,PCU_Score,Heavy_Vehicle_Ratio,Car_Ratio,Is_Peak_Hour,Is_Weekend,Hour_Sin,Hour_Cos,Day_Part,Is_Severe_Rush_Hour,Bus_To_Car_Ratio,Heavy_Vehicle_PCU_Share,Congestion_Index,PCU_Lag_15Min,PCU_Rolling_1Hr_Avg
3:15:00 AM,1,15,5,1,32,53,Wednesday,normal,03:15:00,3,116.5,0.6226,0.283,0,0,0.7071,0.7071,Night,0,0.0625,0.8498,0.69,127.5,107.25
3:30:00 AM,1,16,4,1,37,58,Wednesday,normal,03:30:00,3,132.0,0.6552,0.2759,0,0,0.7071,0.7071,Night,0,0.0588,0.8636,0.79,116.5,123.0
3:45:00 AM,1,14,1,0,12,27,Wednesday,low,03:45:00,3,50.5,0.4444,0.5185,0,0,0.7071,0.7071,Night,0,0.0,0.7129,0.3,132.0,106.62
4:00:00 AM,1,16,4,0,18,38,Wednesday,normal,04:00:00,4,72.0,0.4737,0.4211,0,0,0.866,0.5,Night,0,0.0,0.75,0.43,50.5,92.75
4:15:00 AM,1,56,21,3,0,80,Wednesday,low,04:15:00,4,75.5,0.0375,0.7,0,0,0.866,0.5,Night,0,0.0526,0.1192,0.45,72.0,82.5
4:30:00 AM,1,78,11,10,18,117,Wednesday,normal,04:30:00,4,167.5,0.2393,0.6667,0,0,0.866,0.5,Night,0,0.1266,0.5015,1.0,75.5,91.38
4:45:00 AM,1,82,29,0,20,131,Wednesday,normal,04:45:00,4,156.5,0.1527,0.626,0,0,0.866,0.5,Night,0,0.0,0.3834,0.93,167.5,117.88
5:00:00 AM,1,102,15,2,7,126,Wednesday,normal,05:00:00,5,136.5,0.0714,0.8095,0,0,0.9659,0.2588,Morning,0,0.0194,0.1978,0.81,156.5,134.0
5:15:00 AM,1,69,14,6,18,107,Wednesday,normal,05:15:00,5,148.0,0.2243,0.6449,0,0,0.9659,0.2588,Morning,0,0.0857,0.4865,0.88,136.5,152.12
5:30:00 AM,1,87,24,6,19,136,Wednesday,normal,05:30:00,5,174.0,0.1838,0.6397,0,0,0.9659,0.2588,Morning,0,0.0682,0.431,1.04,148.0,153.75
5:45:00 AM,1,84,16,10,5,115,Wednesday,normal,05:45:00,5,137.0,0.1304,0.7304,0,0,0.9659,0.2588,Morning,0,0.1176,0.3285,0.82,174.0,148.88
6:00:00 AM,1,109,38,34,5,186,Wednesday,heavy,06:00:00,6,245.0,0.2097,0.586,1,0,1.0,0.0,Morning,0,0.3091,0.4776,1.46,137.0,176.0
6:15:00 AM,1,147,38,23,3,211,Wednesday,heavy,06:15:00,6,244.0,0.1232,0.6967,1,0,1.0,0.0,Morning,0,0.1554,0.3197,1.45,245.0,200.0
6:30:00 AM,1,135,19,48,5,207,Wednesday,heavy,06:30:00,6,303.5,0.256,0.6522,1,0,1.0,0.0,Morning,0,0.3529,0.5239,1.81,244.0,232.38
6:45:00 AM,1,101,23,41,5,170,Wednesday,heavy,06:45:00,6,250.5,0.2706,0.5941,1,0,1.0,0.0,Morning,0,0.402,0.5509,1.49,303.5,260.75
7:00:00 AM,1,138,21,28,1,188,Wednesday,heavy,07:00:00,7,235.5,0.1543,0.734,1,0,0.9659,-0.2588,Morning,0,0.2014,0.3694,1.4,250.5,258.38
7:15:00 AM,1,136,20,32,1,189,Wednesday,heavy,07:15:00,7,245.0,0.1746,0.7196,1,0,0.9659,-0.2588,Morning,0,0.2336,0.4041,1.46,235.5,258.62
7:30:00 AM,1,123,19,25,5,172,Wednesday,heavy,07:30:00,7,222.5,0.1744,0.7151,1,0,0.9659,-0.2588,Morning,0,0.2016,0.4045,1.32,245.0,238.38
7:45:00 AM,1,108,30,46,5,189,Wednesday,heavy,07:45:00,7,276.0,0.2698,0.5714,1,0,0.9659,-0.2588,Morning,0,0.422,0.5543,1.64,222.5,244.75
8:00:00 AM,1,128,15,43,5,191,Wednesday,heavy,08:00:00,8,279.5,0.2513,0.6702,1,0,0.866,-0.5,Morning,1,0.3333,0.5152,1.66,276.0,255.75
8:15:00 AM,1,129,37,41,1,208,Wednesday,heavy,08:15:00,8,273.5,0.2019,0.6202,1,0,0.866,-0.5,Morning,1,0.3154,0.4607,1.63,279.5,262.88
8:30:00 AM,1,127,18,28,3,176,Wednesday,heavy,08:30:00,8,229.0,0.1761,0.7216,1,0,0.866,-0.5,Morning,1,0.2188,0.4061,1.36,273.5,264.5
8:45:00 AM,1,142,37,46,3,228,Wednesday,heavy,08:45:00,8,307.5,0.2149,0.6228,1,0,0.866,-0.5,Morning,1,0.3217,0.478,1.83,229.0,272.38
9:00:00 AM,1,149,26,46,1,222,Wednesday,heavy,09:00:00,9,303.0,0.2117,0.6712,0,0,0.7071,-0.7071,Morning,1,0.3067,0.4653,1.8,307.5,278.25
9:15:00 AM,1,77,13,7,23,120,Wednesday,high,09:15:00,9,173.5,0.25,0.6417,0,0,0.7071,-0.7071,Morning,1,0.0897,0.5187,1.03,303.0,253.25
9:30:00 AM,1,37,16,13,29,95,Wednesday,normal,09:30:00,9,171.0,0.4421,0.3895,0,0,0.7071,-0.7071,Morning,1,0.3421,0.7368,1.02,173.5,238.75
9:45:00 AM,1,79,8,16,12,115,Wednesday,normal,09:45:00,9,167.0,0.2435,0.687,0,0,0.7071,-0.7071,Morning,1,0.2,0.503,0.99,171.0,203.62
10:00:00 AM,1,97,2,16,7,122,Wednesday,normal,10:00:00,10,167.0,0.1885,0.7951,0,0,0.5,-0.866,Morning,0,0.1633,0.4132,0.99,167.0,169.62
10:15:00 AM,1,22,8,31,8,69,Wednesday,normal,10:15:00,10,143.0,0.5652,0.3188,0,0,0.5,-0.866,Morning,0,1.3478,0.8182,0.85,167.0,162.0
10:30:00 AM,1,31,23,19,12,85,Wednesday,normal,10:30:00,10,135.5,0.3647,0.3647,0,0,0.5,-0.866,Morning,0,0.5938,0.6863,0.81,143.0,153.12
10:45:00 AM,1,49,22,16,5,92,Wednesday,normal,10:45:00,10,123.0,0.2283,0.5326,0,0,0.5,-0.866,Morning,0,0.32,0.5122,0.73,135.5,142.12
11:00:00 AM,1,32,5,3,21,61,Wednesday,normal,11:00:00,11,106.5,0.3934,0.5246,0,0,0.2588,-0.9659,Morning,0,0.0909,0.6761,0.63,123.0,127.0
11:15:00 AM,1,40,6,11,28,85,Wednesday,normal,11:15:00,11,160.0,0.4588,0.4706,0,0,0.2588,-0.9659,Morning,0,0.2683,0.7312,0.95,106.5,131.25
11:30:00 AM,1,42,6,10,21,79,Wednesday,normal,11:30:00,11,138.0,0.3924,0.5316,0,0,0.2588,-0.9659,Morning,0,0.2326,0.6739,0.82,160.0,131.88
11:45:00 AM,1,37,9,7,25,78,Wednesday,normal,11:45:00,11,137.5,0.4103,0.4744,0,0,0.2588,-0.9659,Morning,0,0.1842,0.6982,0.82,138.0,135.5
12:00:00 PM,1,45,5,5,24,79,Wednesday,normal,12:00:00,12,134.5,0.3671,0.5696,0,0,0.0,-1.0,Afternoon,0,0.1087,0.6468,0.8,137.5,142.5
12:15:00 PM,1,64,10,4,28,106,Wednesday,normal,12:15:00,12,165.0,0.3019,0.6038,0,0,0.0,-1.0,Afternoon,0,0.0615,0.5818,0.98,134.5,143.75
12:30:00 PM,1,33,8,6,23,70,Wednesday,normal,12:30:00,12,124.0,0.4143,0.4714,0,0,0.0,-1.0,Afternoon,0,0.1765,0.7016,0.74,165.0,140.25
12:45:00 PM,1,34,6,12,27,79,Wednesday,normal,12:45:00,12,154.0,0.4937,0.4304,0,0,0.0,-1.0,Afternoon,0,0.3429,0.7597,0.92,124.0,144.38
1:00:00 PM,1,40,9,5,20,74,Wednesday,normal,13:00:00,13,119.5,0.3378,0.5405,0,0,-0.2588,-0.9659,Afternoon,0,0.122,0.6276,0.71,154.0,140.62
1:15:00 PM,1,64,19,22,12,117,Wednesday,normal,13:15:00,13,175.5,0.2906,0.547,0,0,-0.2588,-0.9659,Afternoon,0,0.3385,0.5812,1.04,119.5,143.25
1:30:00 PM,1,108,24,34,7,173,Wednesday,heavy,13:30:00,13,243.0,0.237,0.6243,0,0,-0.2588,-0.9659,Afternoon,0,0.3119,0.5062,1.45,175.5,173.0
1:45:00 PM,1,108,17,33,7,165,Wednesday,high,13:45:00,13,236.5,0.2424,0.6545,0,0,-0.2588,-0.9659,Afternoon,0,0.3028,0.5074,1.41,243.0,193.62
2:00:00 PM,1,50,23,21,11,105,Wednesday,normal,14:00:00,14,157.5,0.3048,0.4762,0,0,-0.5,-0.866,Afternoon,0,0.4118,0.6095,0.94,236.5,203.12
2:15:00 PM,1,16,21,10,16,63,Wednesday,normal,14:15:00,14,104.5,0.4127,0.254,0,0,-0.5,-0.866,Afternoon,0,0.5882,0.7464,0.62,157.5,185.38
2:30:00 PM,1,91,22,34,8,155,Wednesday,high,14:30:00,14,228.0,0.271,0.5871,0,0,-0.5,-0.866,Afternoon,0,0.3696,0.5526,1.36,104.5,181.62
2:45:00 PM,1,89,19,37,18,163,Wednesday,high,14:45:00,14,263.5,0.3374,0.546,0,0,-0.5,-0.866,Afternoon,0,0.4111,0.6262,1.57,228.0,188.38
3:00:00 PM,1,108,12,23,8,151,Wednesday,normal,15:00:00,15,207.0,0.2053,0.7152,0,0,-0.7071,-0.7071,Afternoon,0,0.211,0.4493,1.23,263.5,200.75
3:15:00 PM,1,73,29,23,7,132,Wednesday,normal,15:15:00,15,177.5,0.2273,0.553,0,0,-0.7071,-0.7071,Afternoon,0,0.3108,0.507,1.06,207.0,219.0
3:30:00 PM,1,76,28,39,14,157,Wednesday,high,15:30:00,15,249.0,0.3376,0.4841,0,0,-0.7071,-0.7071,Afternoon,0,0.5065,0.6386,1.48,177.5,224.25
3:45:00 PM,1,19,15,20,17,71,Wednesday,normal,15:45:00,15,137.5,0.5211,0.2676,0,0,-0.7071,-0.7071,Afternoon,0,1.0,0.8073,0.82,249.0,192.75
4:00:00 PM,1,102,37,48,9,196,Wednesday,heavy,16:00:00,16,291.5,0.2908,0.5204,1,0,-0.866,-0.5,Afternoon,0,0.466,0.5866,1.74,137.5,213.88
4:15:00 PM,1,115,36,41,8,200,Wednesday,heavy,16:15:00,16,280.0,0.245,0.575,1,0,-0.866,-0.5,Afternoon,0,0.3534,0.525,1.67,291.5,239.5
4:30:00 PM,1,142,23,23,6,194,Wednesday,heavy,16:30:00,16,240.5,0.1495,0.732,1,0,-0.866,-0.5,Afternoon,0,0.1608,0.3617,1.43,280.0,237.38
4:45:00 PM,1,134,15,29,8,186,Wednesday,heavy,16:45:00,16,252.5,0.1989,0.7204,1,0,-0.866,-0.5,Afternoon,0,0.2148,0.4396,1.5,240.5,266.12
5:00:00 PM,1,146,18,49,9,222,Wednesday,heavy,17:00:00,17,329.0,0.2613,0.6577,1,0,-0.9659,-0.2588,Evening,1,0.3333,0.5289,1.96,252.5,275.5
5:15:00 PM,1,126,24,48,9,207,Wednesday,heavy,17:15:00,17,309.0,0.2754,0.6087,1,0,-0.9659,-0.2588,Evening,1,0.378,0.5534,1.84,329.0,282.75
5:30:00 PM,1,138,18,27,6,189,Wednesday,heavy,17:30:00,17,246.0,0.1746,0.7302,1,0,-0.9659,-0.2588,Evening,1,0.1942,0.4024,1.46,309.0,284.12
5:45:00 PM,1,129,13,43,6,191,Wednesday,heavy,17:45:00,17,282.5,0.2565,0.6754,1,0,-0.9659,-0.2588,Evening,1,0.3308,0.5204,1.68,246.0,291.62
6:00:00 PM,1,127,35,23,10,195,Wednesday,heavy,18:00:00,18,243.5,0.1692,0.6513,1,0,-1.0,-0.0,Evening,1,0.1797,0.4066,1.45,282.5,270.25
6:15:00 PM,1,144,20,22,7,193,Wednesday,heavy,18:15:00,18,241.0,0.1503,0.7461,1,0,-1.0,-0.0,Evening,1,0.1517,0.361,1.43,243.5,253.25
6:30:00 PM,1,117,19,31,7,174,Wednesday,heavy,18:30:00,18,240.5,0.2184,0.6724,1,0,-1.0,-0.0,Evening,1,0.2627,0.474,1.43,241.0,251.88
6:45:00 PM,1,87,10,13,16,126,Wednesday,normal,18:45:00,18,179.0,0.2302,0.6905,1,0,-1.0,-0.0,Evening,1,0.1477,0.486,1.07,240.5,226.0
7:00:00 PM,1,87,6,18,30,141,Wednesday,high,19:00:00,19,234.0,0.3404,0.617,0,0,-0.9659,0.2588,Evening,1,0.2045,0.6154,1.39,179.0,223.62
7:15:00 PM,1,97,18,10,24,149,Wednesday,high,19:15:00,19,208.0,0.2282,0.651,0,0,-0.9659,0.2588,Evening,1,0.102,0.4904,1.24,234.0,215.38
7:30:00 PM,1,71,21,14,12,118,Wednesday,normal,19:30:00,19,159.5,0.2203,0.6017,0,0,-0.9659,0.2588,Evening,1,0.1944,0.489,0.95,208.0,195.12
7:45:00 PM,1,96,24,18,10,148,Wednesday,normal,19:45:00,19,192.0,0.1892,0.6486,0,0,-0.9659,0.2588,Evening,1,0.1856,0.4375,1.14,159.5,198.38
8:00:00 PM,1,90,7,17,31,145,Wednesday,high,20:00:00,20,237.5,0.331,0.6207,0,0,-0.866,0.5,Evening,0,0.1868,0.6063,1.41,192.0,199.25
8:15:00 PM,1,74,6,12,34,126,Wednesday,high,20:15:00,20,215.0,0.3651,0.5873,0,0,-0.866,0.5,Evening,0,0.16,0.6419,1.28,237.5,201.0
8:30:00 PM,1,59,7,15,20,101,Wednesday,normal,20:30:00,20,167.5,0.3465,0.5842,0,0,-0.866,0.5,Evening,0,0.25,0.6269,1.0,215.0,203.0
8:45:00 PM,1,87,11,16,28,142,Wednesday,high,20:45:00,20,224.5,0.3099,0.6127,0,0,-0.866,0.5,Evening,0,0.1818,0.588,1.34,167.5,211.12
9:00:00 PM,1,62,22,20,20,124,Wednesday,normal,21:00:00,21,193.0,0.3226,0.5,0,0,-0.7071,0.7071,Evening,0,0.3175,0.6218,1.15,224.5,200.0
9:15:00 PM,1,71,16,14,9,110,Wednesday,low,21:15:00,21,148.0,0.2091,0.6455,0,0,-0.7071,0.7071,Evening,0,0.1944,0.4662,0.88,193.0,183.25
9:30:00 PM,1,98,9,15,18,140,Wednesday,normal,21:30:00,21,201.5,0.2357,0.7,0,0,-0.7071,0.7071,Evening,0,0.1515,0.4913,1.2,148.0,191.75
9:45:00 PM,1,93,8,10,16,127,Wednesday,normal,21:45:00,21,175.0,0.2047,0.7323,0,0,-0.7071,0.7071,Evening,0,0.1064,0.4457,1.04,201.5,179.38
10:00:00 PM,1,17,4,0,36,57,Wednesday,normal,22:00:00,22,127.0,0.6316,0.2982,0,0,-0.5,0.866,Night,0,0.0,0.8504,0.76,175.0,162.88
10:15:00 PM,1,16,1,1,29,47,Wednesday,normal,22:15:00,22,106.5,0.6383,0.3404,0,0,-0.5,0.866,Night,0,0.0588,0.8451,0.63,127.0,152.5
10:30:00 PM,1,15,2,0,10,27,Wednesday,low,22:30:00,22,46.0,0.3704,0.5556,0,0,-0.5,0.866,Night,0,0.0,0.6522,0.27,106.5,113.62
10:45:00 PM,1,10,3,1,23,37,Wednesday,normal,22:45:00,22,83.5,0.6486,0.2703,0,0,-0.5,0.866,Night,0,0.0909,0.8623,0.5,46.0,90.75
11:00:00 PM,1,12,4,0,31,47,Wednesday,normal,23:00:00,23,107.0,0.6596,0.2553,0,0,-0.2588,0.9659,Night,0,0.0,0.8692,0.64,83.5,85.75
11:15:00 PM,1,20,1,1,24,46,Wednesday,normal,23:15:00,23,95.5,0.5435,0.4348,0,0,-0.2588,0.9659,Night,0,0.0476,0.7853,0.57,107.0,83.0
11:30:00 PM,1,11,0,1,23,35,Wednesday,normal,23:30:00,23,83.0,0.6857,0.3143,0,0,-0.2588,0.9659,Night,0,0.0833,0.8675,0.49,95.5,92.25
11:45:00 PM,1,14,1,1,17,33,Wednesday,normal,23:45:00,23,68.5,0.5455,0.4242,0,0,-0.2588,0.9659,Night,0,0.0667,0.7883,0.41,83.0,88.5
12:00:00 AM,2,12,5,1,38,56,Thursday,normal,00:00:00,0,131.5,0.6964,0.2143,0,0,0.0,1.0,Night,0,0.0769,0.8897,0.78,131.5,131.5
12:15:00 AM,2,15,4,1,29,49,Thursday,normal,00:15:00,0,107.0,0.6122,0.3061,0,0,0.0,1.0,Night,0,0.0625,0.8411,0.64,131.5,119.25
12:30:00 AM,2,12,4,0,40,56,Thursday,normal,00:30:00,0,134.0,0.7143,0.2143,0,0,0.0,1.0,Night,0,0.0,0.8955,0.8,107.0,124.17
12:45:00 AM,2,11,5,0,22,38,Thursday,normal,00:45:00,0,79.5,0.5789,0.2895,0,0,0.0,1.0,Night,0,0.0,0.8302,0.47,134.0,113.0
1:00:00 AM,2,14,5,1,21,41,Thursday,normal,01:00:00,1,82.5,0.5366,0.3415,0,0,0.2588,0.9659,Night,0,0.0667,0.8,0.49,79.5,100.75
1:15:00 AM,2,14,3,0,39,56,Thursday,normal,01:15:00,1,132.5,0.6964,0.25,0,0,0.2588,0.9659,Night,0,0.0,0.883,0.79,82.5,107.12
1:30:00 AM,2,10,4,1,11,26,Thursday,low,01:30:00,1,48.0,0.4615,0.3846,0,0,0.2588,0.9659,Night,0,0.0909,0.75,0.29,132.5,85.62
1:45:00 AM,2,11,0,0,16,27,Thursday,normal,01:45:00,1,59.0,0.5926,0.4074,0,0,0.2588,0.9659,Night,0,0.0,0.8136,0.35,48.0,80.5
2:00:00 AM,2,12,3,0,39,54,Thursday,normal,02:00:00,2,130.5,0.7222,0.2222,0,0,0.5,0.866,Night,0,0.0,0.8966,0.78,59.0,92.5
2:15:00 AM,2,11,0,1,36,48,Thursday,normal,02:15:00,2,122.0,0.7708,0.2292,0,0,0.5,0.866,Night,0,0.0833,0.9098,0.73,130.5,89.88
2:30:00 AM,2,16,2,0,35,53,Thursday,normal,02:30:00,2,122.0,0.6604,0.3019,0,0,0.5,0.866,Night,0,0.0,0.8607,0.73,122.0,108.38
2:45:00 AM,2,17,3,1,36,57,Thursday,normal,02:45:00,2,129.5,0.6491,0.2982,0,0,0.5,0.866,Night,0,0.0556,0.8571,0.77,122.0,126.0
3:00:00 AM,2,13,1,1,13,28,Thursday,normal,03:00:00,3,55.5,0.5,0.4643,0,0,0.7071,0.7071,Night,0,0.0714,0.7568,0.33,129.5,107.25
3:15:00 AM,2,14,5,0,19,38,Thursday,normal,03:15:00,3,73.5,0.5,0.3684,0,0,0.7071,0.7071,Night,0,0.0,0.7755,0.44,55.5,95.12
3:30:00 AM,2,17,5,1,15,38,Thursday,normal,03:30:00,3,67.5,0.4211,0.4474,0,0,0.7071,0.7071,Night,0,0.0556,0.7111,0.4,73.5,81.5
3:45:00 AM,2,19,3,0,13,35,Thursday,normal,03:45:00,3,59.5,0.3714,0.5429,0,0,0.7071,0.7071,Night,0,0.0,0.6555,0.35,67.5,64.0
4:00:00 AM,2,19,3,1,12,35,Thursday,low,04:00:00,4,59.5,0.3714,0.5429,0,0,0.866,0.5,Night,0,0.05,0.6555,0.35,59.5,65.0
4:15:00 AM,2,54,15,10,8,87,Thursday,low,04:15:00,4,115.5,0.2069,0.6207,0,0,0.866,0.5,Night,0,0.1818,0.4675,0.69,59.5,75.5
4:30:00 AM,2,107,0,1,2,110,Thursday,low,04:30:00,4,116.0,0.0273,0.9727,0,0,0.866,0.5,Night,0,0.0093,0.0776,0.69,115.5,87.62
4:45:00 AM,2,116,20,5,14,155,Thursday,normal,04:45:00,4,183.0,0.1226,0.7484,0,0,0.866,0.5,Night,0,0.0427,0.3115,1.09,116.0,118.5
5:00:00 AM,2,78,2,4,9,93,Thursday,low,05:00:00,5,118.0,0.1398,0.8387,0,0,0.9659,0.2588,Morning,0,0.0506,0.3305,0.7,183.0,133.12
5:15:00 AM,2,111,22,0,12,145,Thursday,normal,05:15:00,5,158.0,0.0828,0.7655,0,0,0.9659,0.2588,Morning,0,0.0,0.2278,0.94,118.0,143.75
5:30:00 AM,2,85,27,7,17,136,Thursday,normal,05:30:00,5,170.5,0.1765,0.625,0,0,0.9659,0.2588,Morning,0,0.0814,0.4223,1.02,158.0,157.38
5:45:00 AM,2,95,5,9,20,129,Thursday,normal,05:45:00,5,184.5,0.2248,0.7364,0,0,0.9659,0.2588,Morning,0,0.0938,0.4715,1.1,170.5,157.75
6:00:00 AM,2,143,33,27,1,204,Thursday,heavy,06:00:00,6,243.5,0.1373,0.701,1,0,1.0,0.0,Morning,0,0.1875,0.345,1.45,184.5,189.12
6:15:00 AM,2,133,40,37,0,210,Thursday,heavy,06:15:00,6,264.0,0.1762,0.6333,1,0,1.0,0.0,Morning,0,0.2761,0.4205,1.57,243.5,215.62
6:30:00 AM,2,123,37,34,4,198,Thursday,heavy,06:30:00,6,255.5,0.1919,0.6212,1,0,1.0,0.0,Morning,0,0.2742,0.4462,1.52,264.0,236.88
6:45:00 AM,2,133,34,36,1,204,Thursday,heavy,06:45:00,6,261.0,0.1814,0.652,1,0,1.0,0.0,Morning,0,0.2687,0.4253,1.55,255.5,256.0
7:00:00 AM,2,101,20,42,4,167,Thursday,normal,07:00:00,7,249.0,0.2754,0.6048,1,0,0.9659,-0.2588,Morning,0,0.4118,0.5542,1.48,261.0,257.38
7:15:00 AM,2,145,10,37,0,192,Thursday,heavy,07:15:00,7,261.0,0.1927,0.7552,1,0,0.9659,-0.2588,Morning,0,0.2534,0.4253,1.55,249.0,256.62
7:30:00 AM,2,141,39,40,5,225,Thursday,heavy,07:30:00,7,295.5,0.2,0.6267,1,0,0.9659,-0.2588,Morning,0,0.2817,0.4569,1.76,261.0,266.62
7:45:00 AM,2,134,12,22,2,170,Thursday,heavy,07:45:00,7,212.0,0.1412,0.7882,1,0,0.9659,-0.2588,Morning,0,0.163,0.3396,1.26,295.5,254.38
8:00:00 AM,2,126,10,26,4,166,Thursday,high,08:00:00,8,221.0,0.1807,0.759,1,0,0.866,-0.5,Morning,1,0.2047,0.4072,1.32,212.0,247.38
8:15:00 AM,2,136,22,31,0,189,Thursday,heavy,08:15:00,8,240.0,0.164,0.7196,1,0,0.866,-0.5,Morning,1,0.2263,0.3875,1.43,221.0,242.12
8:30:00 AM,2,128,26,42,4,200,Thursday,heavy,08:30:00,8,279.0,0.23,0.64,1,0,0.866,-0.5,Morning,1,0.3256,0.4946,1.66,240.0,238.0
8:45:00 AM,2,106,12,28,4,150,Thursday,high,08:45:00,8,208.0,0.2133,0.7067,1,0,0.866,-0.5,Morning,1,0.2617,0.4615,1.24,279.0,237.0
9:00:00 AM,2,140,27,36,2,205,Thursday,heavy,09:00:00,9,267.5,0.1854,0.6829,0,0,0.7071,-0.7071,Morning,1,0.2553,0.4262,1.59,208.0,248.62
9:15:00 AM,2,40,20,37,28,125,Thursday,high,09:15:00,9,245.0,0.52,0.32,0,0,0.7071,-0.7071,Morning,1,0.9024,0.7959,1.46,267.5,249.88
9:30:00 AM,2,13,25,33,12,83,Thursday,normal,09:30:00,9,160.5,0.5422,0.1566,0,0,0.7071,-0.7071,Morning,1,2.3571,0.8411,0.96,245.0,220.25
9:45:00 AM,2,18,22,26,10,76,Thursday,normal,09:45:00,9,137.0,0.4737,0.2368,0,0,0.7071,-0.7071,Morning,1,1.3684,0.7883,0.82,160.5,202.5
10:00:00 AM,2,59,5,36,12,112,Thursday,high,10:00:00,10,205.5,0.4286,0.5268,0,0,0.5,-0.866,Morning,0,0.6,0.7007,1.22,137.0,187.0
10:15:00 AM,2,48,9,30,14,101,Thursday,normal,10:15:00,10,184.5,0.4356,0.4752,0,0,0.5,-0.866,Morning,0,0.6122,0.7154,1.1,205.5,171.88
10:30:00 AM,2,77,23,14,20,134,Thursday,normal,10:30:00,10,190.5,0.2537,0.5746,0,0,0.5,-0.866,Morning,0,0.1795,0.5354,1.13,184.5,179.38
10:45:00 AM,2,17,13,13,27,70,Thursday,normal,10:45:00,10,143.5,0.5714,0.2429,0,0,0.5,-0.866,Morning,0,0.7222,0.8362,0.85,190.5,181.0
11:00:00 AM,2,36,5,14,25,80,Thursday,normal,11:00:00,11,155.5,0.4875,0.45,0,0,0.2588,-0.9659,Morning,0,0.3784,0.7524,0.93,143.5,168.5
11:15:00 AM,2,60,10,3,28,101,Thursday,normal,11:15:00,11,158.0,0.3069,0.5941,0,0,0.2588,-0.9659,Morning,0,0.0492,0.5886,0.94,155.5,161.88
11:30:00 AM,2,34,5,4,29,72,Thursday,normal,11:30:00,11,135.5,0.4583,0.4722,0,0,0.2588,-0.9659,Morning,0,0.1143,0.7306,0.81,158.0,148.12
11:45:00 AM,2,63,5,6,20,94,Thursday,normal,11:45:00,11,143.5,0.2766,0.6702,0,0,0.2588,-0.9659,Morning,0,0.0938,0.5436,0.85,135.5,148.12
12:00:00 PM,2,48,10,13,23,94,Thursday,normal,12:00:00,12,161.0,0.383,0.5106,0,0,0.0,-1.0,Afternoon,0,0.2653,0.6708,0.96,143.5,149.5
